id,label
0,Palacinky
1,Steak s cesnakovým maslom
2,Chrumkavé krídelká
3,Čili
4,Sedliacke fondue
5,Špagety carbonara
6,Špagety bolonské
7,Langoše
8,Jablkovo-škoricová kaša
9,Polievka minestrone
10,Čajové keksy
11,Šišky
12,Cestoviny pomodoro
13,Guláš
14,Lečo
15,Dusené hríby
16,Cookies
17,Belgické wafle
18,Burger
19,Kuracie stehná v MH marináde
